<amsterdam:FastEthernet0/1, brussels:FastEthernet0/1>
<amsterdam:FastEthernet1/0, frankfurt:FastEthernet0/1>
<amsterdam:FastEthernet1/1, london:FastEthernet0/1>
<amsterdam:FastEthernet2/0, rotterdam:FastEthernet0/1>
<athens:FastEthernet0/1, istanbul:FastEthernet0/1>
<athens:FastEthernet1/0, sofia:FastEthernet0/1>
<barcelona:FastEthernet0/1, madrid:FastEthernet0/1>
<barcelona:FastEthernet1/0, marseille:FastEthernet0/1>
<basel:FastEthernet0/1, geneva:FastEthernet0/1>
<basel:FastEthernet1/0, strasbourg:FastEthernet0/1>
<bratislava:FastEthernet0/1, budapest:FastEthernet0/1>
<bratislava:FastEthernet1/0, praha:FastEthernet0/1>
<bratislava:FastEthernet1/1, vienna:FastEthernet0/1>
<brussels:FastEthernet0/1, amsterdam:FastEthernet0/1>
<brussels:FastEthernet1/0, frankfurt:FastEthernet1/0>
<brussels:FastEthernet1/1, london:FastEthernet1/0>
<brussels:FastEthernet2/0, luxembourg:FastEthernet0/1>
<brussels:FastEthernet2/1, paris:FastEthernet0/1>
<brussels:FastEthernet3/0, rotterdam:FastEthernet1/0>
<bucharest:FastEthernet0/1, budapest:FastEthernet1/0>
<bucharest:FastEthernet1/0, istanbul:FastEthernet1/0>
<bucharest:FastEthernet1/1, kiev:FastEthernet0/1>
<budapest:FastEthernet0/1, bratislava:FastEthernet0/1>
<budapest:FastEthernet1/0, bucharest:FastEthernet0/1>
<budapest:FastEthernet1/1, sofia:FastEthernet1/0>
<budapest:FastEthernet2/0, zagreb:FastEthernet0/1>
<dublin:FastEthernet0/1, london:FastEthernet1/1>
<frankfurt:FastEthernet0/1, amsterdam:FastEthernet1/0>
<frankfurt:FastEthernet1/0, brussels:FastEthernet1/0>
<frankfurt:FastEthernet1/1, praha:FastEthernet1/0>
<frankfurt:FastEthernet2/0, stockholm:FastEthernet0/1>
<frankfurt:FastEthernet2/1, strasbourg:FastEthernet1/0>
<frankfurt:FastEthernet3/0, vienna:FastEthernet1/0>
<frankfurt:FastEthernet3/1, warsaw:FastEthernet0/1>
<frankfurt:FastEthernet4/0, zurich:FastEthernet0/1>
<geneva:FastEthernet0/1, basel:FastEthernet0/1>
<geneva:FastEthernet1/0, lyon:FastEthernet0/1>
<geneva:FastEthernet1/1, paris:FastEthernet1/0>
<geneva:FastEthernet2/0, zurich:FastEthernet1/0>
<istanbul:FastEthernet0/1, athens:FastEthernet0/1>
<istanbul:FastEthernet1/0, bucharest:FastEthernet1/0>
<kiev:FastEthernet0/1, bucharest:FastEthernet1/1>
<kiev:FastEthernet1/0, warsaw:FastEthernet1/0>
<lisbon:FastEthernet0/1, london:FastEthernet2/0>
<ljubjana:FastEthernet0/1, zagreb:FastEthernet1/0>
<london:FastEthernet0/1, amsterdam:FastEthernet1/1>
<london:FastEthernet1/0, brussels:FastEthernet1/1>
<london:FastEthernet1/1, dublin:FastEthernet0/1>
<london:FastEthernet2/0, lisbon:FastEthernet0/1>
<london:FastEthernet2/1, paris:FastEthernet1/1>
<luxembourg:FastEthernet0/1, brussels:FastEthernet2/0>
<luxembourg:FastEthernet1/0, strasbourg:FastEthernet1/1>
<lyon:FastEthernet0/1, geneva:FastEthernet1/0>
<lyon:FastEthernet1/0, marseille:FastEthernet1/0>
<lyon:FastEthernet1/1, paris:FastEthernet2/0>
<madrid:FastEthernet0/1, barcelona:FastEthernet0/1>
<madrid:FastEthernet1/0, paris:FastEthernet2/1>
<marseille:FastEthernet0/1, barcelona:FastEthernet1/0>
<marseille:FastEthernet1/0, lyon:FastEthernet1/0>
<marseille:FastEthernet1/1, milan:FastEthernet0/1>
<milan:FastEthernet0/1, marseille:FastEthernet1/1>
<milan:FastEthernet1/0, roma:FastEthernet0/1>
<milan:FastEthernet1/1, vienna:FastEthernet1/1>
<milan:FastEthernet2/0, zurich:FastEthernet1/1>
<paris:FastEthernet0/1, brussels:FastEthernet2/1>
<paris:FastEthernet1/0, geneva:FastEthernet1/1>
<paris:FastEthernet1/1, london:FastEthernet2/1>
<paris:FastEthernet2/0, lyon:FastEthernet1/1>
<paris:FastEthernet2/1, madrid:FastEthernet1/0>
<praha:FastEthernet0/1, bratislava:FastEthernet1/0>
<praha:FastEthernet1/0, frankfurt:FastEthernet1/1>
<praha:FastEthernet1/1, warsaw:FastEthernet1/1>
<roma:FastEthernet0/1, milan:FastEthernet1/0>
<roma:FastEthernet1/0, zurich:FastEthernet2/0>
<rotterdam:FastEthernet0/1, amsterdam:FastEthernet2/0>
<rotterdam:FastEthernet1/0, brussels:FastEthernet3/0>
<sofia:FastEthernet0/1, athens:FastEthernet1/0>
<sofia:FastEthernet1/0, budapest:FastEthernet1/1>
<stockholm:FastEthernet0/1, frankfurt:FastEthernet2/0>
<strasbourg:FastEthernet0/1, basel:FastEthernet1/0>
<strasbourg:FastEthernet1/0, frankfurt:FastEthernet2/1>
<strasbourg:FastEthernet1/1, luxembourg:FastEthernet1/0>
<vaduz:FastEthernet0/1, zurich:FastEthernet2/1>
<vienna:FastEthernet0/1, bratislava:FastEthernet1/1>
<vienna:FastEthernet1/0, frankfurt:FastEthernet3/0>
<vienna:FastEthernet1/1, milan:FastEthernet1/1>
<warsaw:FastEthernet0/1, frankfurt:FastEthernet3/1>
<warsaw:FastEthernet1/0, kiev:FastEthernet1/0>
<warsaw:FastEthernet1/1, praha:FastEthernet1/1>
<zagreb:FastEthernet0/1, budapest:FastEthernet2/0>
<zagreb:FastEthernet1/0, ljubjana:FastEthernet0/1>
<zurich:FastEthernet0/1, frankfurt:FastEthernet4/0>
<zurich:FastEthernet1/0, geneva:FastEthernet2/0>
<zurich:FastEthernet1/1, milan:FastEthernet2/0>
<zurich:FastEthernet2/0, roma:FastEthernet1/0>
<zurich:FastEthernet2/1, vaduz:FastEthernet0/1>
